PKT_SIZE,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,PKT_IN,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_DELAY,FIRST_PKT_SENT,LAST_PKT_RESEVED,FLAGS_0,FLAGS_1
103,,1,103,859,3.4436746769844957,427,5669,5.52256176550317,1715688217,1715688233,1,0
82,3645229356,1,82,1018,2.133533716319832,459,5107,8.380862540967739,1715690442,1715690500,1,0
54,1514221649,1,54,898,1.9839839087492566,446,5940,8.131974465766916,1715689086,1715689121,0,0
78,1514221649,1,78,940,2.3574205448198273,456,4387,11.863658854391314,1715691139,1715691191,0,0
54,3645229384,1,54,900,1.1342784578861993,494,5061,5.8674098807116355,1715688821,1715688854,1,0
78,,1,78,1004,2.6723687624603825,572,5081,12.265578816082325,1715689413,1715689420,0,0
359,,1,359,984,3.3936634330669193,595,5875,8.364940334173975,1715691063,1715691098,1,0
66,1389690033,1,66,953,3.133271855893137,552,5768,11.224627299199732,1715689938,1715689962,1,0
92,,1,92,950,3.5116275671149837,563,4155,8.446785643070772,1715690720,1715690735,0,0
543,,1,543,1187,4.490041092185573,549,4845,14.245284683600794,1715691023,1715691043,1,0
66,3124390961,1,66,1110,4.265349473872359,402,5723,10.757269467817933,1715687816,1715687829,1,0
88,,1,88,1124,3.9728072904888343,457,4606,9.370240834349383,1715690745,1715690764,0,0
88,,1,88,1106,1.8663130866734159,578,4823,13.631188353436368,1715691163,1715691208,0,0
88,,1,88,966,2.5669938697888055,411,4018,5.060101581971899,1715687870,1715687913,0,0
70,,1,70,952,3.4594767511290256,567,4291,5.689405313211147,1715689648,1715689666,0,0
500,,1,500,1148,4.373011251608814,595,4768,13.241681546003832,1715689390,1715689445,1,0
173,,1,173,981,2.893223844565868,421,4185,8.371734009902704,1715690401,1715690417,1,0
66,2093653281,1,66,825,1.6474584288868144,542,5454,9.100607308915372,1715687866,1715687869,1,0
500,,1,500,1177,1.3397668819583282,581,5368,5.471740756147252,1715687997,1715688024,1,0
